user_name,user_location,user_friend_count,user_review_count,user_elite,user_yelp_age,user_review_votes,user_url,user_5star,user_4star,user_3star,user_2star,user_1star
Celia Z.,"Livermore, CA",155,198,1,12/1/2011,392,https://www.yelp.com/user_details?userid=gDjq5eiu9Qz5o9gLllJ8Dw,77,84,27,8,2
Rich R.,"Carmichael, CA",9,7,0,9/1/2011,46,https://www.yelp.com/user_details?userid=LUH0NGR9qkiHBJb8854Bhg,4,0,0,0,3
Jeffrey M.,"Sacramento, CA",97,144,1,5/1/2008,681,https://www.yelp.com/user_details?userid=q1_Qj90umrNgYx67flKf8A,60,49,17,9,9
Sarah L.,"San Jose, CA",138,28,0,2/1/2007,73,https://www.yelp.com/user_details?userid=pxyLSUHTLNVjY4cc5sLKTw,14,11,1,1,1
Doug G.,"Sacramento, CA",1,5,0,5/1/2014,9,https://www.yelp.com/user_details?userid=a5dfh0Q7b0CZty4AmuL70g,4,1,0,0,0
Jon Q.,"Sacramento, CA",124,252,1,7/1/2007,1065,https://www.yelp.com/user_details?userid=Ktd04SKOw89dE2DPOCj2wQ,56,86,51,43,16
Bella E.,"Elk Grove, CA",0,12,0,9/1/2013,34,https://www.yelp.com/user_details?userid=KPUAQuA5Rj2MRFBflbffGw,5,1,0,0,6
alli d.,"Mission, San Francisco, CA",0,17,0,4/1/2009,24,https://www.yelp.com/user_details?userid=pcXPlqYuIFKMKY3ay29SsA,6,5,1,4,1
Grumpy C.,"Grass Valley, CA",0,6,0,3/1/2016,5,https://www.yelp.com/user_details?userid=w1OC_q_59F4kX1Ae8k4dVQ,3,1,0,1,1
John S C.,"Sacramento, CA",468,24,0,5/1/2014,32,https://www.yelp.com/user_details?userid=JW8GKCmxrCGUjy5L_bGMKA,24,0,0,0,0
Haley T.,"Foster City, CA",4,44,0,11/1/2012,20,https://www.yelp.com/user_details?userid=uYs3R1KtrSrObfO3Pz7DSA,23,14,5,2,0
Chaz C.,"Clairemont, San Diego, CA",0,1,0,6/1/2012,0,https://www.yelp.com/user_details?userid=gajHvgUtT2PRWxGfCOsZKg,0,0,0,0,0
Jim H.,"Sacramento, CA",23,136,0,1/1/2009,209,https://www.yelp.com/user_details?userid=YY3D4gAgrbhKuGngNDAPPA,39,74,11,7,5
R K.,"Davis, CA",0,10,0,2/1/2013,4,https://www.yelp.com/user_details?userid=ZtgKS2p7rsX34KLGGpnTzQ,3,0,1,2,4
Bill N.,"West Sacramento, CA",0,1,0,3/1/2018,0,https://www.yelp.com/user_details?userid=O-ajep5cs-y2gYkYe7U1gw,0,0,0,0,0
Allison W.,"Antioch, CA",0,7,0,7/1/2017,0,https://www.yelp.com/user_details?userid=YCApyEcLFO6GIl8JLNl1uA,3,3,1,0,0
Terra G.,"Sacramento, CA",0,14,0,6/1/2012,21,https://www.yelp.com/user_details?userid=aQL-rrSWUX4oN4hQydjPMQ,12,2,0,0,0
Joy C.,"Folsom, CA",122,21,0,9/1/2013,19,https://www.yelp.com/user_details?userid=8SXIkp8zxpaY6yKfHWUPqg,3,10,3,4,1
Oscar M.,"Elk Grove, CA",0,12,0,3/1/2011,9,https://www.yelp.com/user_details?userid=EjUIr0hi6SlGdACYQnJFSQ,9,2,1,0,0
Alexis A.,"Vallejo, CA",237,188,0,2/1/2012,258,https://www.yelp.com/user_details?userid=aUMXnlJmofj6jpZFipAV6Q,42,76,54,13,3
Mike C.,"Sacramento, CA",0,6,0,6/1/2012,1,https://www.yelp.com/user_details?userid=KpTxWafrhAzsgHUaHpFpNw,2,2,1,1,0
Mignon the loquacious" F.","Sacramento, CA",65,30,0,10/1/2008,83,https://www.yelp.com/user_details?userid=4NCHv9cl2HJudSOC1WDKoA,13,11,4,2,0
Vicky Z.,"Orange County, CA",365,571,1,9/1/2010,1448,https://www.yelp.com/user_details?userid=tJwfN0zLXc5e8tDqeIzXuQ,86,212,201,50,22
Angela L.,"Vacaville, CA",80,20,0,1/1/2011,10,https://www.yelp.com/user_details?userid=He3_tymrG7kIrgqX02YgNw,18,0,0,1,1
Airen P.,"Sacramento, CA",13,17,0,5/1/2011,54,https://www.yelp.com/user_details?userid=f3tiOEKrU899OXeOMBdfMA,8,0,0,3,6
